,Issue id,Status,Priority,Issue key,Created,Resolved
0,SERVER-4711,Resolved,Needs_Triage,SERVER,2016-08-01T15:00:41.000,2018-02-12T17:22:33.000
1,SERVER-4713,Resolved,Needs_Triage,SERVER,2016-08-02T05:24:36.000,2018-02-12T17:22:33.000
2,SERVER-4715,Resolved,Needs_Triage,SERVER,2016-08-02T08:51:32.000,2018-02-12T17:22:33.000
3,SERVER-4716,Resolved,Needs_Triage,SERVER,2016-08-02T09:07:10.000,2016-08-30T12:41:35.000
4,SERVER-4717,Resolved,Needs_Triage,SERVER,2016-08-02T09:17:54.000,2018-02-12T17:22:33.000
5,SERVER-4724,Resolved,Needs_Triage,SERVER,2016-08-03T15:11:25.000,2018-02-12T17:22:33.000
6,SERVER-4727,Resolved,P4,SERVER,2016-08-03T20:54:27.000,2019-02-01T16:46:01.000
7,CLIENT-5039,Resolved,Needs_Triage,CLIENT,2016-08-04T14:50:18.000,2018-05-14T10:29:06.000
8,SERVER-4731,Resolved,Needs_Triage,SERVER,2016-08-05T08:31:21.000,2018-06-19T13:50:05.000
9,SERVER-4732,Resolved,P2,SERVER,2016-08-05T09:43:40.000,2018-01-05T14:40:48.000
10,SERVER-4735,Resolved,Needs_Triage,SERVER,2016-08-05T17:55:28.000,2016-08-15T15:41:25.000
11,SERVER-4742,Resolved,P2,SERVER,2016-08-08T19:02:54.000,2018-02-12T17:22:33.000
12,SERVER-4749,Resolved,Needs_Triage,SERVER,2016-08-10T17:42:35.000,2018-02-12T17:22:33.000
13,SERVER-4752,Closed,Needs_Triage,SERVER,2016-08-11T12:51:47.000,2016-08-31T15:01:50.000
14,SERVER-4753,Resolved,Needs_Triage,SERVER,2016-08-11T15:55:54.000,2019-05-06T01:45:17.000
15,SERVER-4754,Resolved,Needs_Triage,SERVER,2016-08-12T05:22:23.000,2018-02-12T17:22:34.000
16,CLIENT-5054,Resolved,P3,CLIENT,2016-08-12T08:57:34.000,2018-05-14T10:28:56.000
17,SERVER-4757,Resolved,P3,SERVER,2016-08-13T04:56:23.000,2016-09-08T09:30:52.000
18,SERVER-4761,Resolved,Needs_Triage,SERVER,2016-08-15T05:44:03.000,2016-09-07T03:21:20.000
19,SERVER-4764,Resolved,Needs_Triage,SERVER,2016-08-16T10:24:07.000,2018-02-12T17:22:34.000
20,SERVER-4768,Resolved,Needs_Triage,SERVER,2016-08-16T17:07:49.000,2016-11-17T09:03:20.000
