,Issue id,Status,Priority,Issue key,Created,Resolved
0,SERVER-4709,Closed,P1,SERVER,2016-08-01T09:21:56.000,2016-08-02T08:55:55.000
1,CLIENT-5014,Resolved,Needs_Triage,CLIENT,2016-08-01T10:50:25.000,2016-08-02T09:37:34.000
2,CLIENT-5015,Resolved,P3,CLIENT,2016-08-01T11:20:53.000,2016-10-12T16:13:14.000
3,CLIENT-5016,Resolved,P2,CLIENT,2016-08-01T14:27:18.000,2016-08-05T10:19:01.000
4,CLIENT-5017,Resolved,Needs_Triage,CLIENT,2016-08-01T14:58:17.000,2016-08-01T20:26:28.000
5,CLIENT-5018,Resolved,Needs_Triage,CLIENT,2016-08-01T15:51:24.000,2016-08-01T20:24:30.000
6,SERVER-4712,Resolved,Needs_Triage,SERVER,2016-08-01T16:31:57.000,2016-08-01T16:33:58.000
7,SERVER-4714,Resolved,Needs_Triage,SERVER,2016-08-02T08:37:18.000,2018-06-12T14:33:23.000
8,CLIENT-5019,Resolved,P3,CLIENT,2016-08-02T11:34:40.000,2016-09-15T07:33:02.000
9,CLIENT-5020,Resolved,P3,CLIENT,2016-08-02T11:38:48.000,2016-08-05T10:21:25.000
10,SERVER-4718,Resolved,P1,SERVER,2016-08-02T12:43:03.000,2016-10-14T13:29:06.000
11,CLIENT-5021,Resolved,P3,CLIENT,2016-08-02T13:38:08.000,2018-05-21T15:16:07.000
12,SERVER-4719,Resolved,Needs_Triage,SERVER,2016-08-02T18:58:30.000,2016-08-30T12:41:27.000
13,CLIENT-5022,Resolved,P1,CLIENT,2016-08-02T20:54:20.000,2016-10-14T13:37:54.000
14,SERVER-4720,Resolved,Needs_Triage,SERVER,2016-08-03T02:02:43.000,2016-08-05T09:51:56.000
15,CLIENT-5023,Resolved,P3,CLIENT,2016-08-03T08:12:58.000,2018-05-21T15:16:28.000
16,CLIENT-5024,Resolved,P1,CLIENT,2016-08-03T08:49:57.000,2016-10-14T13:37:08.000
17,CLIENT-5025,Resolved,P1,CLIENT,2016-08-03T08:50:59.000,2016-10-14T13:36:51.000
18,CLIENT-5026,Resolved,P1,CLIENT,2016-08-03T08:51:36.000,2016-10-14T13:34:38.000
19,SERVER-4721,Resolved,P2,SERVER,2016-08-03T09:27:30.000,2016-09-02T16:37:33.000
20,SERVER-4722,Resolved,Needs_Triage,SERVER,2016-08-03T09:32:30.000,2018-02-12T17:22:33.000
21,SERVER-4723,Resolved,P1,SERVER,2016-08-03T10:35:10.000,2016-10-14T13:14:35.000
22,CLIENT-5028,Resolved,P2,CLIENT,2016-08-03T11:07:36.000,2016-08-05T10:20:16.000
23,CLIENT-5029,Resolved,Needs_Triage,CLIENT,2016-08-03T14:09:46.000,2018-05-21T15:16:58.000
24,SERVER-4725,Resolved,Needs_Triage,SERVER,2016-08-03T17:03:32.000,2018-02-12T17:22:33.000
25,SERVER-4726,Closed,Needs_Triage,SERVER,2016-08-03T17:06:03.000,2016-08-15T14:07:27.000
26,CLIENT-5030,Resolved,Needs_Triage,CLIENT,2016-08-04T06:08:20.000,2018-05-21T15:17:25.000
27,CLIENT-5031,Resolved,P3,CLIENT,2016-08-04T11:38:08.000,2017-03-02T15:16:41.000
28,CLIENT-5032,Resolved,P2,CLIENT,2016-08-04T12:30:09.000,2016-08-17T16:35:55.000
29,CLIENT-5033,Resolved,P3,CLIENT,2016-08-04T12:35:03.000,2016-08-18T15:38:03.000
30,CLIENT-5034,Resolved,P3,CLIENT,2016-08-04T12:41:03.000,2016-08-17T16:33:03.000
31,CLIENT-5035,Resolved,P3,CLIENT,2016-08-04T12:45:58.000,2016-08-18T11:15:05.000
32,CLIENT-5036,Resolved,P3,CLIENT,2016-08-04T13:34:01.000,2016-08-18T15:34:37.000
33,CLIENT-5037,Resolved,P3,CLIENT,2016-08-04T13:36:38.000,2016-10-20T15:15:21.000
34,CLIENT-5038,Resolved,P3,CLIENT,2016-08-04T13:47:02.000,2016-10-05T10:34:31.000
35,SERVER-4728,Resolved,Needs_Triage,SERVER,2016-08-04T13:58:57.000,2018-02-12T17:22:33.000
36,SERVER-4729,Resolved,P4,SERVER,2016-08-04T21:41:29.000,2016-08-09T15:32:22.000
37,SERVER-4730,Resolved,Needs_Triage,SERVER,2016-08-05T07:43:51.000,2018-02-12T17:22:33.000
38,SERVER-4733,Reopened,P3,SERVER,2016-08-05T12:02:12.000,
39,SERVER-4734,Resolved,Needs_Triage,SERVER,2016-08-05T12:53:02.000,2016-08-09T11:09:14.000
