,Priority,Status,Issue id,Issue key,Created,Resolved
0,P1,Closed,SERVER-4709,SERVER,2016-08-01T09:21:56.000,2016-08-02T08:55:55.000
1,Needs_Triage,Resolved,CLIENT-5014,CLIENT,2016-08-01T10:50:25.000,2016-08-02T09:37:34.000
2,P3,Resolved,CLIENT-5015,CLIENT,2016-08-01T11:20:53.000,2016-10-12T16:13:14.000
3,P2,Resolved,CLIENT-5016,CLIENT,2016-08-01T14:27:18.000,2016-08-05T10:19:01.000
4,Needs_Triage,Resolved,CLIENT-5017,CLIENT,2016-08-01T14:58:17.000,2016-08-01T20:26:28.000
5,Needs_Triage,Resolved,CLIENT-5018,CLIENT,2016-08-01T15:51:24.000,2016-08-01T20:24:30.000
6,Needs_Triage,Resolved,SERVER-4712,SERVER,2016-08-01T16:31:57.000,2016-08-01T16:33:58.000
7,Needs_Triage,Resolved,SERVER-4714,SERVER,2016-08-02T08:37:18.000,2018-06-12T14:33:23.000
8,P3,Resolved,CLIENT-5019,CLIENT,2016-08-02T11:34:40.000,2016-09-15T07:33:02.000
9,P3,Resolved,CLIENT-5020,CLIENT,2016-08-02T11:38:48.000,2016-08-05T10:21:25.000
10,P1,Resolved,SERVER-4718,SERVER,2016-08-02T12:43:03.000,2016-10-14T13:29:06.000
11,P3,Resolved,CLIENT-5021,CLIENT,2016-08-02T13:38:08.000,2018-05-21T15:16:07.000
12,Needs_Triage,Resolved,SERVER-4719,SERVER,2016-08-02T18:58:30.000,2016-08-30T12:41:27.000
13,P1,Resolved,CLIENT-5022,CLIENT,2016-08-02T20:54:20.000,2016-10-14T13:37:54.000
14,Needs_Triage,Resolved,SERVER-4720,SERVER,2016-08-03T02:02:43.000,2016-08-05T09:51:56.000
15,P3,Resolved,CLIENT-5023,CLIENT,2016-08-03T08:12:58.000,2018-05-21T15:16:28.000
16,P1,Resolved,CLIENT-5024,CLIENT,2016-08-03T08:49:57.000,2016-10-14T13:37:08.000
17,P1,Resolved,CLIENT-5025,CLIENT,2016-08-03T08:50:59.000,2016-10-14T13:36:51.000
18,P1,Resolved,CLIENT-5026,CLIENT,2016-08-03T08:51:36.000,2016-10-14T13:34:38.000
19,P2,Resolved,SERVER-4721,SERVER,2016-08-03T09:27:30.000,2016-09-02T16:37:33.000
20,Needs_Triage,Resolved,SERVER-4722,SERVER,2016-08-03T09:32:30.000,2018-02-12T17:22:33.000
21,P1,Resolved,SERVER-4723,SERVER,2016-08-03T10:35:10.000,2016-10-14T13:14:35.000
22,P2,Resolved,CLIENT-5028,CLIENT,2016-08-03T11:07:36.000,2016-08-05T10:20:16.000
23,Needs_Triage,Resolved,CLIENT-5029,CLIENT,2016-08-03T14:09:46.000,2018-05-21T15:16:58.000
24,Needs_Triage,Resolved,SERVER-4725,SERVER,2016-08-03T17:03:32.000,2018-02-12T17:22:33.000
25,Needs_Triage,Closed,SERVER-4726,SERVER,2016-08-03T17:06:03.000,2016-08-15T14:07:27.000
26,Needs_Triage,Resolved,CLIENT-5030,CLIENT,2016-08-04T06:08:20.000,2018-05-21T15:17:25.000
27,P3,Resolved,CLIENT-5031,CLIENT,2016-08-04T11:38:08.000,2017-03-02T15:16:41.000
28,P2,Resolved,CLIENT-5032,CLIENT,2016-08-04T12:30:09.000,2016-08-17T16:35:55.000
29,P3,Resolved,CLIENT-5033,CLIENT,2016-08-04T12:35:03.000,2016-08-18T15:38:03.000
30,P3,Resolved,CLIENT-5034,CLIENT,2016-08-04T12:41:03.000,2016-08-17T16:33:03.000
31,P3,Resolved,CLIENT-5035,CLIENT,2016-08-04T12:45:58.000,2016-08-18T11:15:05.000
32,P3,Resolved,CLIENT-5036,CLIENT,2016-08-04T13:34:01.000,2016-08-18T15:34:37.000
33,P3,Resolved,CLIENT-5037,CLIENT,2016-08-04T13:36:38.000,2016-10-20T15:15:21.000
34,P3,Resolved,CLIENT-5038,CLIENT,2016-08-04T13:47:02.000,2016-10-05T10:34:31.000
35,Needs_Triage,Resolved,SERVER-4728,SERVER,2016-08-04T13:58:57.000,2018-02-12T17:22:33.000
36,P4,Resolved,SERVER-4729,SERVER,2016-08-04T21:41:29.000,2016-08-09T15:32:22.000
37,Needs_Triage,Resolved,SERVER-4730,SERVER,2016-08-05T07:43:51.000,2018-02-12T17:22:33.000
38,P3,Reopened,SERVER-4733,SERVER,2016-08-05T12:02:12.000,
39,Needs_Triage,Resolved,SERVER-4734,SERVER,2016-08-05T12:53:02.000,2016-08-09T11:09:14.000
40,Needs_Triage,Closed,CLIENT-5040,CLIENT,2016-08-05T15:07:29.000,2016-08-05T16:13:20.000
41,P3,Resolved,CLIENT-5041,CLIENT,2016-08-05T15:29:01.000,2016-08-17T16:39:35.000
42,Needs_Triage,Resolved,CLIENT-5042,CLIENT,2016-08-05T15:35:45.000,2016-08-05T16:22:36.000
43,P3,Resolved,CLIENT-5043,CLIENT,2016-08-05T16:36:05.000,2016-08-22T15:36:10.000
44,P2,Resolved,SERVER-4737,SERVER,2016-08-08T10:22:08.000,2016-12-02T16:18:53.000
45,P2,Resolved,SERVER-4738,SERVER,2016-08-08T13:39:44.000,2016-09-01T13:53:31.000
46,P2,Resolved,SERVER-4739,SERVER,2016-08-08T15:48:02.000,2016-09-01T13:53:53.000
47,Needs_Triage,Resolved,SERVER-4740,SERVER,2016-08-08T15:51:01.000,2016-10-21T12:14:46.000
48,P2,Resolved,CLIENT-5044,CLIENT,2016-08-08T16:32:20.000,2016-08-17T16:37:04.000
49,P3,Resolved,CLIENT-5045,CLIENT,2016-08-08T16:34:43.000,2016-08-26T15:50:09.000
50,P3,Resolved,CLIENT-5046,CLIENT,2016-08-08T16:42:13.000,2016-09-12T11:13:01.000
51,P2,Resolved,CLIENT-5047,CLIENT,2016-08-08T16:49:55.000,2016-08-18T11:12:48.000
52,P2,Resolved,SERVER-4741,SERVER,2016-08-08T17:52:30.000,2016-09-01T13:54:11.000
53,Needs_Triage,Resolved,SERVER-4743,SERVER,2016-08-08T23:16:15.000,2016-09-01T13:55:06.000
54,Needs_Triage,Resolved,SERVER-4744,SERVER,2016-08-09T08:08:26.000,2016-09-01T13:54:38.000
55,P3,Resolved,CLIENT-5048,CLIENT,2016-08-09T08:56:55.000,2016-08-17T16:38:12.000
56,P4,Resolved,CLIENT-5049,CLIENT,2016-08-09T09:01:14.000,2016-09-30T12:26:12.000
57,P3,Resolved,CLIENT-5050,CLIENT,2016-08-09T09:33:50.000,2016-10-10T07:50:03.000
